Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:22.1,"urn:cite:hmt:vaimg.VA282RN-0452@0.587,0.6426,0.051,0.0188",urn:cite2:hmt:msA.282r
urn:cts:greekLit:tlg5026.msAim.hmt:22.2,"urn:cite:hmt:vaimg.VA282VN-0784@0.436,0.458,0.046,0.0616",urn:cite2:hmt:msA.282v
urn:cts:greekLit:tlg5026.msAim.hmt:22.3,"urn:cite:hmt:vaimg.VA282VN-0784@0.433,0.5646,0.046,0.039",urn:cite2:hmt:msA.282v
urn:cts:greekLit:tlg5026.msAim.hmt:22.4,"urn:cite:hmt:vaimg.VA282VN-0784@0.433,0.6291,0.053,0.0315",urn:cite2:hmt:msA.282v
urn:cts:greekLit:tlg5026.msAim.hmt:22.5,"urn:cite:hmt:vaimg.VA283RN-0453@0.599,0.3761,0.041,0.033",urn:cite2:hmt:msA.283r
urn:cts:greekLit:tlg5026.msAim.hmt:22.6,"urn:cite:hmt:vaimg.VA283RN-0453@0.589,0.5225,0.04,0.0225",urn:cite2:hmt:msA.283r
urn:cts:greekLit:tlg5026.msAim.hmt:22.7,"urn:cite:hmt:vaimg.VA283VN-0785@0.438,0.2357,0.055,0.0398",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAim.hmt:22.8,"urn:cite:hmt:vaimg.VA283VN-0785@0.435,0.3063,0.063,0.0225",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAim.hmt:22.9,"urn:cite:hmt:vaimg.VA283VN-0785@0.438,0.4422,0.058,0.039",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAim.hmt:22.10,"urn:cite:hmt:vaimg.VA283VN-0785@0.436,0.5143,0.055,0.0375",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAim.hmt:22.11,"urn:cite:hmt:vaimg.VA283VN-0785@0.458,0.5511,0.034,0.0353",urn:cite2:hmt:msA.283v
urn:cts:greekLit:tlg5026.msAim.hmt:22.12,"urn:cite:hmt:vaimg.VA284RN-0454@0.618,0.238,0.057,0.0293",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAim.hmt:22.13,"urn:cite:hmt:vaimg.VA284RN-0454@0.629,0.2793,0.057,0.0293",urn:cite2:hmt:msA.284r
urn:cts:greekLit:tlg5026.msAim.hmt:22.,"",urn:cite2:hmt:msA.284v
