Text#Image#Folio
urn:cts:greekLit:tlg5026.msA.hmt:22.1#urn:cite2:hmt:vaimg.2017a:VA282RN_0452@0.629,0.5398,0.202,0.1066#urn:cite2:hmt:msA.2017a:282r
urn:cts:greekLit:tlg5026.msA.hmt:22.2#urn:cite2:hmt:vaimg.2017a:VA282RN_0452@0.631,0.6419,0.187,0.0443#urn:cite2:hmt:msA.2017a:282r
urn:cts:greekLit:tlg5026.msA.hmt:22.3#urn:cite2:hmt:vaimg.2017a:VA282RN_0452@0.617,0.6847,0.201,0.0563#urn:cite2:hmt:msA.2017a:282r
urn:cts:greekLit:tlg5026.msA.hmt:22.4#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.227,0.2635,0.23,0.1006#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.5#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.223,0.3769,0.222,0.0375#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.6#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.232,0.4122,0.202,0.0841#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.7#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.229,0.4917,0.68,0.2688#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.8#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.227,0.7447,0.679,0.0586#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.9#urn:cite2:hmt:vaimg.2017a:VA282VN_0784@0.226,0.789,0.681,0.0285#urn:cite2:hmt:msA.2017a:282v
urn:cts:greekLit:tlg5026.msA.hmt:22.10#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.637,0.3724,0.174,0.0428#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msA.hmt:22.11#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.631,0.4099,0.194,0.0511#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msA.hmt:22.12#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.625,0.4452,0.194,0.0278#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msA.hmt:22.13#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.622,0.4692,0.194,0.0736#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msA.hmt:22.14#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.623,0.5375,0.193,0.1194#urn:cite2:hmt:msA.2017a:283r
urn:cts:greekLit:tlg5026.msA.hmt:22.15#urn:cite2:hmt:vaimg.2017a:VA283RN_0453@0.181,0.6404,0.635,0.0818#urn:cite2:hmt:msA.2017a:283r
