Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:21.1,"urn:cite:hmt:vaimg.VA270RN-0440@0.151,0.153,0.448,0.1028"
urn:cts:greekLit:tlg0012.tlg001.msA:21.2,"urn:cite:hmt:vaimg.VA270RN-0440@0.218,0.2101,0.396,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:21.3,"urn:cite:hmt:vaimg.VA270RN-0440@0.214,0.2281,0.402,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:21.4,"urn:cite:hmt:vaimg.VA270RN-0440@0.21,0.2483,0.406,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.5,"urn:cite:hmt:vaimg.VA270RN-0440@0.21,0.2671,0.423,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.6,"urn:cite:hmt:vaimg.VA270RN-0440@0.208,0.2858,0.377,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:21.7,"urn:cite:hmt:vaimg.VA270RN-0440@0.206,0.3046,0.398,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.8,"urn:cite:hmt:vaimg.VA270RN-0440@0.21,0.3211,0.406,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.9,"urn:cite:hmt:vaimg.VA270RN-0440@0.207,0.3398,0.426,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.10,"urn:cite:hmt:vaimg.VA270RN-0440@0.203,0.3631,0.426,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.11,"urn:cite:hmt:vaimg.VA270RN-0440@0.206,0.3803,0.423,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.12,"urn:cite:hmt:vaimg.VA270RN-0440@0.199,0.3998,0.423,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.13,"urn:cite:hmt:vaimg.VA270RN-0440@0.196,0.4186,0.448,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.14,"urn:cite:hmt:vaimg.VA270RN-0440@0.198,0.4366,0.448,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.15,"urn:cite:hmt:vaimg.VA270RN-0440@0.195,0.4554,0.448,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:21.16,"urn:cite:hmt:vaimg.VA270RN-0440@0.195,0.4779,0.448,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:21.17,"urn:cite:hmt:vaimg.VA270RN-0440@0.19,0.4981,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.18,"urn:cite:hmt:vaimg.VA270RN-0440@0.193,0.5131,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.19,"urn:cite:hmt:vaimg.VA270RN-0440@0.193,0.5296,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.20,"urn:cite:hmt:vaimg.VA270RN-0440@0.188,0.5514,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.21,"urn:cite:hmt:vaimg.VA270RN-0440@0.182,0.5724,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.22,"urn:cite:hmt:vaimg.VA270RN-0440@0.181,0.5866,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.23,"urn:cite:hmt:vaimg.VA270RN-0440@0.178,0.6092,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.24,"urn:cite:hmt:vaimg.VA270RN-0440@0.179,0.6264,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.25,"urn:cite:hmt:vaimg.VA270RN-0440@0.178,0.6467,0.448,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:21.26,"urn:cite:hmt:vaimg.VA270VN-0772@0.48,0.2125,0.44,0.0375"
urn:cts:greekLit:tlg0012.tlg001.msA:21.27,"urn:cite:hmt:vaimg.VA270VN-0772@0.49,0.2425,0.428,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.28,"urn:cite:hmt:vaimg.VA270VN-0772@0.489,0.2635,0.428,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.29,"urn:cite:hmt:vaimg.VA270VN-0772@0.489,0.2808,0.428,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:21.30,"urn:cite:hmt:vaimg.VA270VN-0772@0.489,0.2995,0.428,0.0293"
